"gene"	"B6_2ng_B6_NT1"	"B6_10ng_B6_NT1"	"B6_10ng_B6_2ng"	"B6_50ng_B6_NT1"	"B6_50ng_B6_2ng"	"B6_50ng_B6_10ng"	"1h_NT1_B6_NT1"	"1h_NT1_B6_2ng"	"1h_NT1_B6_10ng"	"1h_NT1_B6_50ng"	"1h_2ng_B6_NT1"	"1h_2ng_B6_2ng"	"1h_2ng_B6_10ng"	"1h_2ng_B6_50ng"	"1h_2ng_1h_NT1"	"1h_10ng_B6_NT1"	"1h_10ng_B6_2ng"	"1h_10ng_B6_10ng"	"1h_10ng_B6_50ng"	"1h_10ng_1h_NT1"	"1h_10ng_1h_2ng"	"1h_50ng_B6_NT1"	"1h_50ng_B6_2ng"	"1h_50ng_B6_10ng"	"1h_50ng_B6_50ng"	"1h_50ng_1h_NT1"	"1h_50ng_1h_2ng"	"1h_50ng_1h_10ng"
"C1ra"	" 2.521640"	" 3.445220"	NA	" 3.635400"	" 1.113760"	NA	NA	"-1.643820"	" -2.567400"	" -2.757580"	" 2.625320"	NA	NA	NA	" 1.747510"	" 3.874770"	"  1.353130"	NA	NA	" 2.996950"	" 1.249450"	" 3.116360"	NA	NA	NA	" 2.238550"	NA	NA
"Cdca3"	" 0.751283"	"-0.824346"	"-1.575630"	"-3.476590"	"-4.227870"	"-2.652250"	NA	NA	"  1.595490"	"  4.247740"	" 1.183760"	NA	" 2.008110"	"  4.660360"	NA	NA	" -0.984622"	NA	" 3.243250"	"-1.004480"	"-1.417100"	NA	"-1.495410"	NA	" 2.732460"	"-1.515270"	"-1.927890"	NA
"Emp1"	"-1.426730"	"-3.915340"	"-2.488610"	"-4.811940"	"-3.385210"	"-0.896599"	NA	" 1.772310"	"  4.260910"	"  5.157510"	NA	NA	" 3.157490"	"  4.054090"	"-1.103420"	"-2.836000"	" -1.409270"	" 1.079340"	" 1.975940"	"-3.181570"	"-2.078150"	NA	NA	" 3.053710"	" 3.950310"	"-1.207210"	NA	" 1.974370"
"Clec5a"	" 1.490320"	" 2.715900"	" 1.225580"	" 3.461490"	" 1.971170"	NA	NA	"-1.213020"	" -2.438600"	" -3.184190"	" 1.388430"	NA	"-1.327470"	" -2.073070"	" 1.111130"	" 2.216790"	NA	NA	"-1.244700"	" 1.939490"	NA	" 1.879160"	NA	NA	"-1.582330"	" 1.601860"	NA	NA
"Tmem176b"	" 2.158070"	" 2.937860"	NA	" 2.482740"	NA	NA	NA	"-2.099870"	" -2.879670"	" -2.424550"	" 1.971890"	NA	NA	NA	" 1.913700"	" 2.468480"	NA	NA	NA	" 2.410280"	NA	" 1.496280"	NA	NA	NA	" 1.438080"	NA	NA
"Cd207"	" 1.110080"	NA	"-1.454870"	"-1.827690"	"-2.937760"	"-1.482890"	NA	"-1.351480"	NA	"  1.586280"	" 1.434510"	NA	" 1.779300"	"  3.262190"	" 1.675910"	NA	NA	NA	" 2.409010"	NA	NA	NA	"-1.580870"	NA	NA	NA	"-1.905300"	NA
"Clec4e"	" 3.458540"	" 6.922320"	" 3.463780"	" 8.329680"	" 4.871140"	NA	NA	"-3.790680"	" -7.254460"	" -8.661820"	" 2.950830"	NA	"-3.971500"	" -5.378850"	" 3.282960"	" 6.126460"	"  2.667920"	NA	"-2.203220"	" 6.458600"	" 3.175640"	" 6.277170"	" 2.818630"	NA	NA	" 6.609310"	" 3.326350"	NA
"1700013D24Rik"	" 0.000000"	" 0.000000"	NA	" 0.000000"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.000000"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Gpr162"	" 1.567950"	" 1.630430"	NA	" 1.367610"	NA	NA	NA	"-1.761030"	" -1.823510"	" -1.560700"	" 1.075460"	NA	NA	NA	" 1.268540"	" 0.988890"	NA	NA	NA	" 1.181970"	NA	" 1.030800"	NA	NA	NA	" 1.223890"	NA	NA
"Cd69"	" 3.950160"	" 6.695030"	" 2.744880"	" 8.352340"	" 4.402180"	" 1.657300"	NA	"-3.317890"	" -6.062770"	" -7.720080"	" 4.077570"	NA	"-2.617470"	" -4.274770"	" 3.445310"	" 8.004570"	"  4.054420"	" 1.309540"	NA	" 7.372310"	" 3.927010"	" 8.225200"	" 4.275050"	" 1.530170"	NA	" 7.592940"	" 4.147640"	NA
"Klra2"	" 2.112550"	" 2.589040"	NA	" 2.904460"	NA	NA	NA	"-1.517200"	" -1.993690"	" -2.309110"	" 2.406140"	NA	NA	NA	" 1.810790"	" 2.890980"	NA	NA	NA	" 2.295630"	NA	" 2.087650"	NA	NA	NA	" 1.492310"	NA	NA
"Ybx3"	" 0.928222"	" 1.451850"	NA	" 0.926978"	NA	NA	NA	NA	NA	NA	" 1.412780"	NA	NA	NA	NA	" 1.759200"	"  0.830979"	NA	" 0.832223"	" 1.109980"	NA	NA	NA	NA	NA	NA	NA	"-1.143930"
"Eps8"	"-1.138250"	"-4.525060"	"-3.386810"	"-6.031450"	"-4.893200"	NA	NA	NA	"  4.196520"	"  5.702910"	"-1.286280"	NA	" 3.238780"	"  4.745170"	"-0.957737"	"-5.514880"	" -4.376620"	NA	NA	"-5.186330"	"-4.228600"	NA	NA	" 3.584380"	" 5.090770"	NA	NA	" 4.574200"
"Bhlhe41"	"-0.845614"	"-1.497280"	NA	"-1.282090"	NA	NA	NA	" 1.030390"	"  1.682050"	"  1.466860"	NA	NA	" 0.980419"	"  0.765229"	NA	"-1.289800"	NA	NA	NA	"-1.474570"	"-0.772937"	NA	NA	" 1.178320"	" 0.963125"	NA	NA	" 0.970833"
"Cacng8,Gm23450"	" 8.975280"	" 7.277190"	NA	" 8.992700"	NA	NA	NA	"-8.416500"	" -6.718420"	" -8.433930"	" 6.417150"	NA	NA	NA	" 5.858380"	" 7.599640"	NA	NA	NA	" 7.040870"	NA	" 5.443710"	"-3.531570"	NA	NA	" 4.884930"	NA	NA
"Ptgir"	" 1.370210"	" 2.401690"	" 1.031490"	" 3.220530"	" 1.850320"	" 0.818836"	NA	"-1.424740"	" -2.456230"	" -3.275060"	" 1.596570"	NA	"-0.805126"	" -1.623960"	" 1.651100"	" 2.429820"	"  1.059620"	NA	"-0.790707"	" 2.484360"	" 0.833255"	" 2.581070"	" 1.210860"	NA	NA	" 2.635600"	" 0.984504"	NA
"Rtn2"	" 3.218890"	" 5.193830"	" 1.974930"	" 4.857970"	" 1.639070"	NA	NA	"-4.432540"	" -6.407470"	" -6.071610"	" 2.959210"	NA	"-2.234620"	" -1.898760"	" 4.172850"	" 4.575670"	NA	NA	NA	" 5.789310"	" 1.616460"	" 3.824000"	NA	NA	NA	" 5.037640"	NA	NA
"Cebpa"	"-0.841085"	"-1.981660"	"-1.140580"	"-2.690210"	"-1.849120"	NA	NA	NA	"  1.802970"	"  2.511520"	"-0.888614"	NA	" 1.093050"	"  1.801590"	NA	"-2.108720"	" -1.267630"	NA	NA	"-1.930030"	"-1.220100"	NA	NA	" 1.266580"	" 1.975120"	NA	NA	" 1.393630"
"Klk1b11"	"-2.286750"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-3.334200"	NA	NA	NA	NA	"-2.832480"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Rras"	" 0.786143"	NA	NA	NA	"-0.981020"	"-0.856889"	NA	"-1.037290"	" -0.913158"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-0.809662"	NA	NA	NA	NA	NA
"Bcat2"	" 0.821796"	" 1.240500"	NA	NA	NA	NA	NA	NA	" -1.161520"	NA	NA	NA	NA	NA	NA	" 0.892177"	NA	NA	NA	NA	NA	NA	NA	"-0.913564"	NA	NA	NA	NA
"Ttc23"	" 1.973990"	NA	NA	NA	NA	NA	" 1.920330"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Isg20"	" 1.411990"	" 5.733080"	" 4.321090"	" 7.665090"	" 6.253100"	" 1.932010"	NA	NA	" -5.399550"	" -7.331560"	" 2.256710"	NA	"-3.476370"	" -5.408380"	" 1.923180"	" 6.928390"	"  5.516400"	" 1.195310"	NA	" 6.594860"	" 4.671680"	" 7.611770"	" 6.199780"	" 1.878690"	NA	" 7.278240"	" 5.355060"	NA
"Prc1"	" 0.817307"	NA	"-1.533630"	"-3.058030"	"-3.875340"	"-2.341710"	" 0.889592"	NA	"  1.605920"	"  3.947630"	" 1.384360"	NA	" 2.100690"	"  4.442400"	NA	NA	" -1.061020"	NA	" 2.814320"	"-1.133310"	"-1.628080"	NA	"-1.566200"	NA	" 2.309140"	"-1.638480"	"-2.133260"	NA
"Mex3b"	"-1.277320"	"-4.151940"	"-2.874620"	"-4.544390"	"-3.267070"	NA	NA	NA	"  3.643220"	"  4.035680"	"-1.558790"	NA	" 2.593150"	"  2.985600"	"-1.050080"	"-4.141700"	" -2.864380"	NA	NA	"-3.632990"	"-2.582910"	NA	NA	" 3.138070"	" 3.530530"	NA	NA	" 3.127840"
"Ppfibp2"	" 0.837851"	" 0.957369"	NA	" 2.063950"	" 1.226100"	" 1.106590"	NA	"-1.141380"	" -1.260890"	" -2.367480"	" 0.858364"	NA	NA	" -1.205590"	" 1.161890"	" 1.028150"	NA	NA	"-1.035810"	" 1.331670"	NA	" 1.730240"	" 0.892390"	NA	NA	" 2.033760"	" 0.871876"	NA
"Plk1"	" 0.801891"	NA	"-1.458450"	"-3.310970"	"-4.112860"	"-2.654420"	" 1.031680"	NA	"  1.688230"	"  4.342650"	" 1.630420"	" 0.828528"	" 2.286970"	"  4.941390"	NA	NA	" -0.892065"	NA	" 3.220800"	"-1.121850"	"-1.720590"	NA	"-1.519230"	NA	" 2.593630"	"-1.749020"	"-2.347760"	NA
"Itgal"	" 0.839273"	" 1.684600"	" 0.845326"	" 3.117000"	" 2.277730"	" 1.432410"	"-0.943895"	"-1.783170"	" -2.628490"	" -4.060900"	NA	NA	"-1.490140"	" -2.922550"	" 1.138350"	" 0.928712"	NA	NA	"-2.188290"	" 1.872610"	NA	" 1.214450"	NA	NA	"-1.902550"	" 2.158350"	" 1.019990"	NA
"Itgax"	" 1.186290"	" 2.651110"	" 1.464830"	" 3.330670"	" 2.144380"	NA	NA	"-1.182640"	" -2.647470"	" -3.327030"	" 1.085150"	NA	"-1.565970"	" -2.245530"	" 1.081500"	" 2.678680"	"  1.492390"	NA	NA	" 2.675030"	" 1.593530"	" 2.585440"	" 1.399160"	NA	NA	" 2.581800"	" 1.500300"	NA
"Lrrc27"	"-1.161210"	"-2.422270"	"-1.261070"	"-3.369580"	"-2.208370"	NA	NA	" 1.331380"	"  2.592450"	"  3.539750"	NA	NA	" 1.287140"	"  2.234440"	"-1.305310"	"-2.378720"	" -1.217520"	NA	NA	"-2.548890"	"-1.243590"	NA	NA	" 1.585810"	" 2.533110"	NA	NA	" 1.542250"
"Tarm1"	" 2.437880"	" 4.486280"	" 2.048410"	" 6.445350"	" 4.007470"	" 1.959060"	NA	"-3.291360"	" -5.339770"	" -7.298830"	" 2.566930"	NA	"-1.919360"	" -3.878420"	" 3.420410"	" 4.931030"	"  2.493160"	NA	"-1.514310"	" 5.784520"	" 2.364110"	" 5.660390"	" 3.222520"	NA	NA	" 6.513880"	" 3.093470"	NA
"Pira2"	" 0.951704"	NA	NA	" 1.044450"	NA	" 0.961820"	NA	"-1.376010"	NA	" -1.468760"	NA	NA	NA	NA	" 1.189340"	NA	" -1.043530"	NA	"-1.136270"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Gm14548"	" 1.412030"	NA	NA	NA	"-1.064220"	NA	NA	"-1.920640"	NA	NA	NA	NA	NA	NA	" 1.293830"	NA	" -1.210410"	NA	NA	NA	NA	NA	"-1.419480"	NA	NA	NA	NA	NA
"Lilra6"	" 1.083700"	NA	"-1.069800"	"-1.284580"	"-2.368280"	"-1.298480"	NA	"-1.845160"	NA	NA	NA	"-0.966638"	NA	"  1.401640"	NA	NA	" -1.489080"	NA	NA	NA	NA	NA	"-1.593880"	NA	NA	NA	NA	NA
"Dnaaf3,Tnni3"	" 1.727030"	" 2.868940"	" 1.141910"	" 2.404930"	NA	NA	NA	"-1.767430"	" -2.909340"	" -2.445330"	NA	NA	"-1.546870"	NA	" 1.362470"	" 2.391950"	NA	NA	NA	" 2.432350"	NA	" 2.025000"	NA	NA	NA	" 2.065400"	NA	NA
"Vasp"	" 1.594000"	" 2.629650"	" 1.035650"	" 3.493520"	" 1.899520"	NA	NA	"-1.700200"	" -2.735850"	" -3.599720"	" 1.520730"	NA	"-1.108920"	" -1.972790"	" 1.626930"	" 2.031940"	NA	NA	"-1.461580"	" 2.138140"	NA	" 1.956560"	NA	NA	"-1.536950"	" 2.062760"	NA	NA
"Ppm1n"	" 0.000000"	" 0.000000"	" 1.720890"	" 0.000000"	NA	NA	NA	" 0.000000"	"  0.000000"	"  0.000000"	" 0.000000"	NA	NA	NA	" 0.000000"	" 0.000000"	NA	NA	NA	" 0.000000"	NA	NA	NA	NA	NA	NA	NA	NA
"Relb"	" 1.991170"	" 3.294090"	" 1.302920"	" 3.876170"	" 1.885000"	NA	NA	"-2.261680"	" -3.564600"	" -4.146680"	" 1.837180"	NA	"-1.456910"	" -2.038990"	" 2.107690"	" 2.956950"	"  0.965782"	NA	NA	" 3.227460"	" 1.119770"	" 3.004950"	NA	NA	NA	" 3.275460"	" 1.167770"	NA
"Apoc2,Apoc4,Gm44805"	"-1.449560"	"-2.193480"	NA	"-3.336940"	"-1.887380"	"-1.143470"	"-1.427970"	NA	NA	"  1.908980"	"-2.288750"	NA	NA	"  1.048190"	NA	"-2.843010"	" -1.393440"	NA	NA	"-1.415040"	NA	NA	NA	" 1.359170"	" 2.502640"	NA	" 1.454450"	" 2.008700"
"Bcl3"	" 1.355480"	" 2.108110"	NA	" 2.662780"	" 1.307300"	NA	NA	"-1.759640"	" -2.512270"	" -3.066940"	NA	NA	"-1.165410"	" -1.720090"	" 1.346850"	" 2.041410"	NA	NA	NA	" 2.445570"	" 1.098720"	" 1.785080"	NA	NA	NA	" 2.189240"	NA	NA
"Hpn"	" 3.069630"	" 3.652740"	NA	NA	NA	"-1.999700"	NA	"-3.791960"	" -4.375070"	" -2.375370"	" 2.518370"	NA	NA	NA	" 3.240700"	" 2.570240"	NA	NA	NA	" 3.292570"	NA	NA	"-2.043480"	"-2.626590"	NA	" 1.748480"	NA	"-1.544090"
"Scn1b"	" 0.954700"	" 0.942203"	NA	NA	NA	NA	NA	"-1.106390"	" -1.093890"	NA	NA	NA	NA	NA	NA	NA	" -1.070470"	"-1.057970"	NA	NA	NA	NA	"-1.014320"	"-1.001820"	NA	NA	NA	NA
"Cd33"	"-1.041910"	"-2.187470"	"-1.145560"	"-1.653080"	NA	NA	NA	" 0.975691"	"  2.121250"	"  1.586870"	"-0.860866"	NA	" 1.326600"	NA	NA	"-2.153260"	" -1.111360"	NA	NA	"-2.087050"	"-1.292400"	NA	NA	NA	NA	NA	NA	NA
"Siglece"	" 1.609110"	" 2.499620"	NA	" 2.162940"	NA	NA	NA	"-1.789660"	" -2.680170"	" -2.343490"	" 1.807500"	NA	NA	NA	" 1.988050"	" 1.988430"	NA	NA	NA	" 2.168980"	NA	NA	NA	"-1.477250"	"-1.140570"	" 1.202920"	NA	NA
"Gm44762"	" 0.000000"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.000000"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Fcgrt"	"-0.887117"	"-2.410180"	"-1.523060"	"-3.686560"	"-2.799450"	"-1.276390"	"-0.874319"	NA	"  1.535860"	"  2.812240"	"-1.816550"	"-0.929428"	NA	"  1.870020"	"-0.942226"	"-3.100020"	" -2.212900"	NA	NA	"-2.225700"	"-1.283470"	NA	NA	" 1.520330"	" 2.796720"	NA	NA	" 2.210170"
"Saa3"	" 7.475790"	"11.627300"	" 4.151470"	"11.077800"	" 3.602030"	NA	NA	"-7.813560"	"-11.965000"	"-11.415600"	" 6.329350"	"-1.146440"	"-5.297910"	" -4.748470"	" 6.667120"	"10.347800"	"  2.872020"	NA	NA	"10.685600"	" 4.018460"	" 9.324470"	" 1.848680"	"-2.302790"	"-1.753350"	" 9.662240"	" 2.995120"	NA
"AU020206"	"-0.885306"	NA	NA	NA	NA	NA	NA	" 0.989023"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Man2a2"	"-1.111780"	"-3.339720"	"-2.227950"	"-4.911110"	"-3.799330"	"-1.571390"	NA	NA	"  2.687190"	"  4.258580"	"-1.855700"	NA	" 1.484030"	"  3.055410"	"-1.203160"	"-4.254070"	" -3.142290"	NA	NA	"-3.601540"	"-2.398370"	NA	NA	" 2.407470"	" 3.978860"	NA	NA	" 3.321820"
"Cpeb1"	"-1.050530"	"-2.746750"	"-1.696220"	"-2.350080"	NA	NA	NA	" 1.030850"	"  2.727070"	"  2.330400"	"-0.954468"	NA	" 1.792280"	NA	"-0.934792"	"-3.415100"	" -2.364570"	NA	NA	"-3.395420"	"-2.460630"	"-1.067160"	NA	" 1.679590"	NA	"-1.047480"	NA	" 2.347940"
"Tsku"	" 0.829068"	" 0.967945"	NA	" 0.909871"	NA	NA	NA	"-1.120230"	" -1.259100"	" -1.201030"	NA	NA	NA	NA	" 0.903961"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Tpbgl"	"-1.605230"	"-3.625920"	"-2.020680"	"-3.876050"	"-2.270820"	NA	NA	" 1.716520"	"  3.737200"	"  3.987340"	"-1.702570"	NA	" 1.923350"	"  2.173480"	"-1.813850"	"-3.222990"	" -1.617760"	NA	NA	"-3.334280"	NA	NA	NA	" 2.804210"	" 3.054340"	NA	NA	" 2.401290"
"Slco2b1"	"-1.820490"	"-6.364500"	"-4.544000"	" 0.000000"	" 0.000000"	NA	NA	" 1.881980"	"  6.425990"	"  0.000000"	"-1.534570"	NA	" 4.829930"	"  0.000000"	"-1.596060"	"-5.152440"	" -3.331950"	NA	NA	"-5.213930"	"-3.617870"	NA	NA	NA	NA	NA	NA	NA
"Art2a-ps"	" 0.000000"	" 0.000000"	" 3.737810"	" 0.000000"	" 3.751550"	NA	NA	" 0.000000"	"  0.000000"	"  0.000000"	NA	NA	"-5.254170"	" -5.267920"	NA	" 0.000000"	"  3.523350"	NA	NA	" 0.000000"	" 5.039720"	" 0.000000"	" 2.768160"	NA	NA	" 0.000000"	" 4.284520"	NA
"Apbb1"	"-2.580180"	NA	NA	NA	NA	NA	NA	" 1.671290"	NA	NA	"-1.822220"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Igsf6"	" 1.776840"	" 3.099640"	" 1.322800"	" 3.599660"	" 1.822820"	NA	NA	"-2.157260"	" -3.480050"	" -3.980080"	" 1.434580"	NA	"-1.665050"	" -2.165080"	" 1.815000"	" 2.594430"	NA	NA	NA	" 2.974850"	" 1.159840"	" 2.202030"	NA	NA	NA	" 2.582450"	NA	NA
"Nupr1"	" 1.624530"	" 3.694770"	" 2.070240"	" 3.250690"	" 1.626160"	NA	NA	"-1.410170"	" -3.480410"	" -3.036340"	" 1.011720"	NA	"-2.683040"	" -2.238970"	NA	" 3.104240"	"  1.479710"	NA	NA	" 2.889880"	" 2.092510"	" 2.618350"	" 0.993824"	"-1.076410"	NA	" 2.404000"	" 1.606630"	NA
"Spn"	" 1.048130"	" 0.886368"	NA	" 1.251690"	NA	NA	NA	NA	NA	" -0.758329"	" 0.969783"	NA	NA	NA	NA	NA	NA	NA	"-0.952933"	NA	NA	NA	"-0.805247"	NA	"-1.008810"	NA	"-0.726904"	NA
"Irf7"	" 2.267730"	" 6.135820"	" 3.868090"	" 7.836020"	" 5.568290"	" 1.700200"	NA	"-2.068790"	" -5.936880"	" -7.637080"	" 3.266280"	NA	"-2.869540"	" -4.569740"	" 3.067340"	" 6.865630"	"  4.597900"	NA	NA	" 6.666690"	" 3.599350"	" 7.007030"	" 4.739300"	NA	NA	" 6.808090"	NA	NA
"F10"	" 2.182680"	" 4.085480"	" 1.902800"	" 5.887370"	" 3.704700"	" 1.801900"	NA	"-2.618760"	" -4.521560"	" -6.323450"	NA	NA	"-2.714400"	" -4.516300"	NA	" 3.740510"	"  1.557830"	NA	"-2.146870"	" 4.176590"	" 2.369430"	" 4.651270"	" 2.468600"	NA	"-1.236100"	" 5.087350"	" 3.280190"	NA
"Gm7676"	" 0.000000"	" 0.000000"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.000000"	NA	NA	NA	NA	NA	" 0.000000"	NA	NA	NA	NA	NA	NA
"Slc7a2"	"-1.151860"	NA	NA	" 3.355990"	" 4.507850"	" 4.072990"	NA	NA	NA	" -3.616890"	NA	NA	NA	" -4.083520"	NA	NA	"  1.643990"	" 1.209140"	"-2.863850"	NA	" 1.219660"	" 1.750940"	" 2.902810"	" 2.467950"	"-1.605040"	" 2.011850"	" 2.478470"	" 1.258810"
"Acsl1"	" 1.267890"	" 3.874680"	" 2.606800"	" 6.526910"	" 5.259030"	" 2.652230"	NA	"-1.027080"	" -3.633870"	" -6.286100"	" 1.505120"	NA	"-2.369560"	" -5.021790"	" 1.264310"	" 3.641950"	"  2.374060"	NA	"-2.884970"	" 3.401140"	" 2.136830"	" 4.549520"	" 3.281640"	NA	"-1.977390"	" 4.308710"	" 3.044400"	NA
"Hpgd"	"-1.788560"	"-6.290520"	"-4.501950"	NA	NA	NA	NA	" 1.688620"	"  6.190580"	NA	"-1.910980"	NA	" 4.379540"	NA	"-1.811040"	"-6.337600"	" -4.549030"	NA	NA	"-6.237660"	"-4.426620"	NA	NA	" 5.332470"	NA	NA	NA	" 5.379550"
"2500002B13Rik"	" 2.634450"	" 4.243370"	" 1.608920"	" 3.736960"	NA	NA	NA	NA	" -3.462050"	" -2.955630"	" 3.028580"	NA	NA	NA	" 2.247250"	" 4.753800"	"  2.119350"	NA	NA	" 3.972470"	" 1.725220"	" 3.921550"	NA	NA	NA	" 3.140230"	NA	NA
"Ankle1"	" 1.208870"	NA	"-1.780710"	"-3.611860"	"-4.820730"	"-3.040020"	NA	NA	"  1.540340"	"  4.580360"	" 1.818370"	NA	" 2.390210"	"  5.430230"	NA	NA	NA	NA	" 4.019360"	NA	"-1.410870"	NA	"-2.157490"	NA	" 2.663240"	"-1.917110"	"-2.766990"	"-1.356110"
"Mcm5"	" 1.041010"	" 0.743827"	NA	NA	"-1.721730"	"-1.424550"	" 1.251820"	NA	NA	"  1.932540"	" 1.948110"	" 0.907109"	" 1.204290"	"  2.628840"	NA	" 1.392060"	NA	NA	" 2.072780"	NA	NA	NA	"-1.050500"	"-0.753320"	NA	"-1.261310"	"-1.957610"	"-1.401550"
"Asf1b"	" 0.783151"	NA	"-0.989331"	"-2.064720"	"-2.847870"	"-1.858540"	" 0.874725"	NA	"  1.080910"	"  2.939450"	" 1.337370"	NA	" 1.543550"	"  3.402100"	NA	NA	NA	NA	" 2.154200"	"-0.785252"	"-1.247900"	NA	"-1.273270"	NA	" 1.574600"	"-1.364850"	"-1.827500"	NA
"Lpcat2"	" 0.902479"	" 1.287270"	NA	" 1.469420"	NA	NA	NA	"-1.201440"	" -1.586230"	" -1.768380"	NA	NA	NA	" -0.825869"	" 0.942515"	" 0.827891"	NA	NA	NA	" 1.126850"	NA	NA	NA	NA	NA	" 0.964997"	NA	NA
"Mt2"	"-0.847497"	NA	NA	NA	" 0.870514"	NA	NA	NA	NA	NA	"-1.165110"	NA	NA	" -1.188130"	"-0.857237"	NA	NA	NA	NA	NA	NA	NA	" 1.028990"	" 0.820130"	NA	NA	" 1.346610"	" 0.848185"
"Shcbp1"	" 0.862326"	NA	"-1.173720"	"-2.843670"	"-3.705990"	"-2.532280"	NA	NA	"  1.043310"	"  3.575590"	" 1.276050"	NA	" 1.587440"	"  4.119720"	NA	NA	NA	NA	" 3.243620"	NA	"-0.876097"	NA	"-1.455400"	NA	" 2.250590"	"-1.325000"	"-1.869130"	"-0.993028"
"Rab20"	" 1.199380"	" 2.356590"	" 1.157210"	" 2.528170"	" 1.328790"	NA	NA	"-1.263530"	" -2.420750"	" -2.592320"	" 0.971616"	NA	"-1.384980"	" -1.556560"	" 1.035770"	" 2.300450"	"  1.101060"	NA	NA	" 2.364600"	" 1.328830"	" 2.357280"	" 1.157890"	NA	NA	" 2.421430"	" 1.385660"	NA
"Gas6"	"-1.494200"	"-3.307670"	"-1.813470"	"-4.809610"	"-3.315410"	"-1.501940"	NA	" 1.459610"	"  3.273080"	"  4.775020"	"-1.662920"	NA	" 1.644750"	"  3.146690"	"-1.628330"	"-4.092240"	" -2.598040"	"-0.784566"	NA	"-4.057650"	"-2.429320"	NA	NA	" 2.350510"	" 3.852450"	NA	NA	" 3.135080"
"Tma16"	" 1.353040"	" 3.587630"	" 2.234590"	" 4.915710"	" 3.562670"	" 1.328080"	NA	"-1.243350"	" -3.477950"	" -4.806020"	" 1.208830"	NA	"-2.378810"	" -3.706890"	" 1.099140"	" 3.409390"	"  2.056340"	NA	"-1.506330"	" 3.299700"	" 2.200560"	" 3.947170"	" 2.594130"	NA	NA	" 3.837480"	" 2.738340"	NA
"Gdf15"	"-1.197000"	"-2.090550"	NA	"-2.333090"	"-1.136090"	NA	NA	" 1.280000"	"  2.173550"	"  2.416090"	"-1.355470"	NA	NA	"  0.977618"	"-1.438470"	"-2.577430"	" -1.380420"	NA	NA	"-2.660430"	"-1.221950"	NA	NA	" 1.542040"	" 1.784580"	NA	NA	" 2.028910"
"Junb"	" 1.027630"	" 2.121440"	" 1.093810"	" 2.953620"	" 1.926000"	NA	NA	"-1.101980"	" -2.195790"	" -3.027970"	" 0.999297"	NA	"-1.122140"	" -1.954330"	" 1.073650"	" 2.207380"	"  1.179750"	NA	NA	" 2.281730"	" 1.208080"	" 2.528240"	" 1.500620"	NA	NA	" 2.602590"	" 1.528950"	NA
"RP23-359B23.11"	" 1.588070"	" 1.995590"	NA	" 2.633250"	" 1.045180"	NA	NA	"-1.336480"	" -1.744000"	" -2.381670"	" 1.404520"	NA	NA	" -1.228740"	" 1.152930"	" 1.285440"	NA	NA	"-1.347810"	" 1.033850"	NA	" 1.070910"	NA	"-0.924680"	"-1.562340"	NA	NA	NA
"N4bp1"	" 1.257090"	" 2.085980"	" 0.828897"	" 2.494740"	" 1.237660"	NA	NA	"-1.405050"	" -2.233950"	" -2.642710"	" 0.959788"	NA	"-1.126200"	" -1.534960"	" 1.107750"	" 1.995270"	NA	NA	NA	" 2.143230"	" 1.035480"	" 1.947310"	NA	NA	NA	" 2.095280"	" 0.987524"	NA
"Rrad"	" 1.203740"	" 1.823470"	NA	" 1.915910"	NA	NA	NA	"-1.273470"	" -1.893200"	" -1.985640"	" 1.217730"	NA	NA	NA	" 1.287460"	" 2.156250"	"  0.952515"	NA	NA	" 2.225980"	" 0.938524"	" 2.043010"	NA	NA	NA	" 2.112740"	NA	NA
"Nqo1"	" 1.354450"	" 1.574090"	NA	" 2.432130"	" 1.077670"	" 0.858034"	NA	"-1.054760"	" -1.274400"	" -2.132430"	" 1.177880"	NA	NA	" -1.254240"	NA	" 1.566450"	NA	NA	"-0.865679"	" 1.266750"	NA	" 1.411970"	NA	NA	"-1.020160"	" 1.112270"	NA	NA
